VideoID,VideoTitle,DateOfPublic,PlaylistID,PlaylistTitle,views,likes,dislikes,comments,Favorites
0dcbw4IEY5w,Abba - Thank You For The Music (Official Video),2014-02-12T08:56:35Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,35595219,123106,4850,7206,0
_d5dPYHi17k,Abba - Summer Night City,2014-02-12T08:56:35Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,14077465,45437,1382,2941,0
p4QqMKe3rwY,Abba - Chiquitita,2014-02-12T08:56:35Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,155559340,582979,32395,29025,0
WkL7Fkigfn8,Abba - Does Your Mother Know (Official Video),2014-02-12T08:56:35Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,33240807,120171,3571,6054,0
za05HBtGsgU,Abba - Voulez-Vous (Official Video),2014-02-12T08:56:35Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,44830788,174299,5462,5848,0
XEjLoHdbVeE,ABBA - Gimme! Gimme! Gimme! (A Man After Midnight),2014-02-12T08:56:35Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,214919615,1443415,28633,43841,0
PyxBYbfu6k8,Abba - On And On And On,2014-02-12T08:56:35Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,3818517,10822,600,631,0
92cwKCU8Z5c,Abba - The Winner Takes It All (Official Video),2014-02-12T08:56:35Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,99960170,356871,16225,18204,0
BshxCIjNEjY,Abba - Super Trouper,2014-02-12T08:56:35Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,66259108,229026,8403,11394,0
3Uo0JAUWijM,Abba - Happy New Year,2014-02-12T08:56:35Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,67212619,328914,13745,36419,0
tUh4u-lYEhM,Abba - When All Is Said And Done (Official Video),2014-02-12T08:56:35Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,17717450,41722,1488,3082,0
IIKAe8Wi0S0,Abba - One Of Us (Official Video),2014-02-12T08:56:35Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,41797957,130749,5271,7716,0
pL2_PZwKDPg,Abba - Head Over Heels,2014-02-12T08:56:35Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,14134918,41285,1474,3102,0
1HnOFwqpLRQ,Abba - The Day Before You Came (Official Video),2014-02-12T08:56:35Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,26921502,93053,4082,8634,0
rAYB46Z_osM,Abba - Under Attack,2014-02-12T08:56:35Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,5211522,17873,601,1609,0
jlC3otqX8bc,Abba - Estoy Soñando (Official Video),2020-01-30T12:20:30Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,20278197,87152,5678,4546,0
Jdsei0_JXD0,"Abba - Conociendome, Conociendote",2020-01-30T12:20:40Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,2500469,14896,680,814,0
do1EGAs_UNQ,Abba - Gracias Por La Musica,2020-01-30T12:20:49Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,6340400,30439,1540,2605,0
YihxpsmH3cQ,Abba - Felicidad,2020-01-30T12:20:57Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,4971521,17471,763,874,0
6qmzmD4POMk,Abba - No Hay A Quien Culpar,2020-01-30T12:21:04Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,3189457,8264,463,531,0
8L6T6Yj5u4k,Abba - The Last Video (Official Video),2020-01-30T12:21:45Z,PLlb3q7unEBfPDh5GChvhqHISwPH23uYLC,Official Music Videos,15543985,270588,9879,15220,0
